dataset,field_id,type,description,coverage,alphaCount,userCount
pv13,primary_sector_focused_company_count,MATRIX,Number of companies primarily focused in a given sector.,0.3508,75,62
pv13,pv13_1l_scibr,GROUP,grouping fields,0.9385,3303,1339
pv13,pv13_2l_scibr,GROUP,grouping fields,0.9385,362,202
pv13,pv13_3l_scibr,GROUP,grouping fields,0.9385,1682,941
pv13,pv13_4l_scibr,GROUP,grouping fields,0.9385,786,543
pv13,pv13_5l_scibr,GROUP,grouping fields,0.9385,1009,682
pv13,pv13_6l_scibr,GROUP,grouping fields,0.9385,757,488
pv13,pv13_com_page_rank,MATRIX,the PageRank of competitors,0.9051,2296,1369
pv13,pv13_com_rk_au,MATRIX,the HITS authority score of competitors,0.9051,2840,1561
pv13,pv13_custretsig_retsig,MATRIX,Sign of customer return,0.9276,3726,1606
pv13,pv13_di_5l,GROUP,grouping fields,1.0,10,9
pv13,pv13_di_6l,GROUP,grouping fields,1.0,12,8
pv13,pv13_h2_min2_1k_sector,GROUP,Grouping fields for top 1000,0.3681,1936,997
pv13,pv13_h2_sector,GROUP,grouping fields,1.0,2798,1220
pv13,pv13_h_f1_sector,GROUP,grouping fields,0.9989,5236,1546
pv13,pv13_h_f3_sector,GROUP,grouping fields,0.9989,786,261
pv13,pv13_h_min10_all_sector,GROUP,grouping fields,0.9995,914,254
pv13,pv13_h_min10_top3000_sector,GROUP,grouping fields,1.0,874,289
pv13,pv13_h_min20_top3000_sector,GROUP,grouping fields,1.0,1011,291
pv13,pv13_h_min22_1000_sector,GROUP,Grouping fields for top 1000,0.3673,1247,546
pv13,pv13_h_min24_500_sector,GROUP,Grouping fields for top 500,0.186,913,517
pv13,pv13_h_min2_3000_sector,GROUP,grouping fields,1.0,19763,3435
pv13,pv13_h_min2_focused_pureplay_3000_sector,GROUP,grouping fields,1.0,11474,2435
pv13,pv13_h_min2_focused_sector,GROUP,Grouping fields for top 200,0.1832,1596,883
pv13,pv13_h_min30_3000_mapped_sector,GROUP,grouping fields,1.0,532,173
pv13,pv13_h_min51_f3_sector,GROUP,grouping fields,0.9989,755,171
pv13,pv13_h_min52_1k_sector,GROUP,Grouping fields for top 1000,0.3673,1088,576
pv13,pv13_h_min52_3000_sector,GROUP,grouping fields,1.0,478,129
pv13,pv13_h_min5_3000_sector,GROUP,grouping fields,1.0,620,192
pv13,pv13_h_min5_500_sector,GROUP,Grouping fields,0.1832,284,168
pv13,pv13_hierarchy23_513_sector,GROUP,grouping fields,0.9933,106,84
pv13,pv13_hierarchy23_sector,GROUP,grouping fields,1.0,1320,864
pv13,pv13_hierarchy2_513_sector,GROUP,grouping fields,0.9933,86,79
pv13,pv13_hierarchy2_min2_1k_513_sector,GROUP,grouping fields,0.3548,10,10
pv13,pv13_hierarchy_f1_513_sector,GROUP,grouping fields,0.9929,62,46
pv13,pv13_hierarchy_f2_513_sector,GROUP,grouping fields,0.9929,53,49
pv13,pv13_hierarchy_f2_sector,GROUP,grouping fields,1.0,79,69
pv13,pv13_hierarchy_f3_513_sector,GROUP,grouping fields,0.9929,25,24
