"alpha","status","sim_id","alpha_id","sharpe","fitness","turnover","returns","margin"
"rank(ts_delta(anl4_ebit_value,126))","RUNNING","3WQczX3oY4HmbcF13KNyNGCb","","","","","",""
"rank(ts_delta(anl4_ebit_value,252))","RUNNING","2F3e1ccoQ537aAU1d4Qq6EGV","","","","","",""
"rank(ts_delta(anl4_ebitda_value,126))","RUNNING","2y0k9MbvQ4Zt9341xSocp8h","","","","","",""
"rank(ts_delta(anl4_ebitda_value,252))","RUNNING","4kPBejgIJ50X9Z0RRiCnQb4","","","","","",""
"rank(ts_delta(anl4_fcf_flag,126))","RUNNING","QeONBcnh56d9tcUkXq9SLq","","","","","",""
"rank(ts_delta(anl4_fcf_flag,252))","RUNNING","4rwcvb4CP5249Ah1aVsdMRVO","","","","","",""
"rank(ts_delta(anl4_netprofit_flag,126))","RUNNING","1s1hS6de259Sa2QfKEcEqjd","","","","","",""
"rank(ts_delta(anl4_netprofit_flag,252))","RUNNING","17yA66blG4E99CVsfLjkQgF","","","","","",""
"rank(ts_rank(anl4_ebit_value,126))","RUNNING","2HSbrWgJL4lHbn711ffeJBgy","","","","","",""
"rank(ts_rank(anl4_ebit_value,126)-ts_rank(anl4_ebitda_value,126))","RUNNING","5E2paeDK4jWb8J138tbw1r","","","","","",""
"rank(ts_rank(anl4_ebit_value,126)-ts_rank(anl4_fcf_flag,126))","RUNNING","4d2AGU1MX4uec8zSv1pnGlJ","","","","","",""
"rank(ts_rank(anl4_ebit_value,126)-ts_rank(anl4_netprofit_flag,126))","RUNNING","d8oIz7H24Ky8EMA67E56Ay","","","","","",""
"rank(ts_rank(anl4_ebit_value,252))","RUNNING","3sMKyHCu4ZVaoD18k27O4K","","","","","",""
"rank(ts_rank(anl4_ebit_value,252)-ts_rank(anl4_ebitda_value,252))","RUNNING","kwbLZgKT4CtcLgB1iTBQXl","","","","","",""
"rank(ts_rank(anl4_ebit_value,252)-ts_rank(anl4_fcf_flag,252))","RUNNING","mxYqB72D56a8CBwzKeclUR","","","","","",""
"rank(ts_rank(anl4_ebit_value,252)-ts_rank(anl4_netprofit_flag,252))","RUNNING","AW55VePG4Iu9rwSrF1RLJR","","","","","",""
"rank(ts_rank(anl4_ebitda_value,126))","RUNNING","1IRi16z34hIcqQ54OJYbZT","","","","","",""
"rank(ts_rank(anl4_ebitda_value,126)-ts_rank(anl4_ebit_value,126))","RUNNING","Vc5HO8H453Pa4MrHDeP9N8","","","","","",""
"rank(ts_rank(anl4_ebitda_value,126)-ts_rank(anl4_fcf_flag,126))","RUNNING","3NbKD05QM4heaLJjcLjz88i","","","","","",""
"rank(ts_rank(anl4_ebitda_value,126)-ts_rank(anl4_netprofit_flag,126))","RUNNING","49F4vvb7Y4QZ99VxgFa2ZwV","","","","","",""
"rank(ts_rank(anl4_ebitda_value,252))","RUNNING","2FLa6g1cN5fE9M96IGgtftP","","","","","",""
"rank(ts_rank(anl4_ebitda_value,252)-ts_rank(anl4_ebit_value,252))","RUNNING","2PV5fYe4a5jvb8tOUBWxtO8","","","","","",""
"rank(ts_rank(anl4_ebitda_value,252)-ts_rank(anl4_fcf_flag,252))","RUNNING","4zBHpIcMj4sWbMBbjtwF8ZY","","","","","",""
"rank(ts_rank(anl4_ebitda_value,252)-ts_rank(anl4_netprofit_flag,252))","RUNNING","10zEJ2f0a57rapukpoGE5fp","","","","","",""
"rank(ts_rank(anl4_fcf_flag,126))","RUNNING","4ASV7FbBQ4RDczqIRqlPgWN","","","","","",""
"rank(ts_rank(anl4_fcf_flag,126)-ts_rank(anl4_ebit_value,126))","RUNNING","2C0jwnQh4x0b481bhr6BgMr","","","","","",""
"rank(ts_rank(anl4_fcf_flag,126)-ts_rank(anl4_ebitda_value,126))","RUNNING","qPIMwfoU59ccMv144cebxyS","","","","","",""
"rank(ts_rank(anl4_fcf_flag,126)-ts_rank(anl4_netprofit_flag,126))","RUNNING","aCNwnefF5dCbphAraXGFaS","","","","","",""
"rank(ts_rank(anl4_fcf_flag,252))","RUNNING","2omBJocBA4nF8W6P27Rhi7P","","","","","",""
"rank(ts_rank(anl4_fcf_flag,252)-ts_rank(anl4_ebit_value,252))","RUNNING","3niVHF6u34OvcwKXWhJzl10","","","","","",""
"rank(ts_rank(anl4_fcf_flag,252)-ts_rank(anl4_ebitda_value,252))","RUNNING","1d62bFdeH5gg8Yuk2Cjy8fk","","","","","",""
"rank(ts_rank(anl4_fcf_flag,252)-ts_rank(anl4_netprofit_flag,252))","RUNNING","1ZiSYt1yX4z59QgtgbrFVFh","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,126))","RUNNING","2WshztbdS4mabzm130fCpSwW","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,126)-ts_rank(anl4_ebit_value,126))","RUNNING","HGWXvcqh4PM8OS18yWdKpRl","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,126)-ts_rank(anl4_ebitda_value,126))","RUNNING","gqf3WaN15dd9cK170mxcuKa","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,126)-ts_rank(anl4_fcf_flag,126))","RUNNING","18RO0PdSZ58Kb0b1g1jHR3UX","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,252))","RUNNING","4FUTvg7sH4wNaV2EKRNjvri","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,252)-ts_rank(anl4_ebit_value,252))","RUNNING","33RENj7Nv4RC9XLHxXVGQMN","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,252)-ts_rank(anl4_ebitda_value,252))","RUNNING","4esbFb24x5fxclLQChuyPAK","","","","","",""
"rank(ts_rank(anl4_netprofit_flag,252)-ts_rank(anl4_fcf_flag,252))","RUNNING","1gAyi857Q54KcsO11ToZnolr","","","","","",""
"rank(ts_zscore(anl4_ebit_value,126))","RUNNING","2o6WYE86s4TTbK0mJBg2aKp","","","","","",""
"rank(ts_zscore(anl4_ebit_value,126)-ts_zscore(anl4_ebitda_value,126))","RUNNING","2FiGnR57H4u1bAV1hSevAujG","","","","","",""
"rank(ts_zscore(anl4_ebit_value,126)-ts_zscore(anl4_fcf_flag,126))","RUNNING","nvDHueF75aCcGY172FnHWJ7","","","","","",""
"rank(ts_zscore(anl4_ebit_value,126)-ts_zscore(anl4_netprofit_flag,126))","RUNNING","17NwlueNC4X9crzxEgRn96R","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252))","RUNNING","4xud5kbPr4Gvc58TdjfRol4","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252)-ts_zscore(anl4_ebitda_value,252))","RUNNING","37BdLG4af53Sc0b1bwLVfJyq","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252)-ts_zscore(anl4_fcf_flag,252))","RUNNING","3snILE3Wx4TJcaecLk0z8ZO","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252)-ts_zscore(anl4_netprofit_flag,252))","RUNNING","yryYwaVs4S28UrpxEGRWnq","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126))","RUNNING","2HAJU8bwY544b8E12F3cftto","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126)-ts_zscore(anl4_ebit_value,126))","RUNNING","2PKeYQ1ju4hlbz730AWwi8h","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126)-ts_zscore(anl4_fcf_flag,126))","RUNNING","3HGO3e4aY4Cnc4DYtSUgilS","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126)-ts_zscore(anl4_netprofit_flag,126))","RUNNING","48tdPwfEt4NOcua1gF5u1rwi","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252))","RUNNING","2prohXum4pJasBmaQoqenF","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252)-ts_zscore(anl4_ebit_value,252))","RUNNING","45maF94r5jHbdv40jNPJsI","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252)-ts_zscore(anl4_fcf_flag,252))","RUNNING","3nud1R9XI50t9LIKttXQPBp","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252)-ts_zscore(anl4_netprofit_flag,252))","RUNNING","1QuhxRfSO4GV9Y0lMEwydMY","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,126))","RUNNING","3EBIBifHu4Bd9VI62kSaXAF","","","","","",""
